"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","US_01","TC_07 As ı user ı  can enter my information in boxes in reservation page","0","1","0","0","0"
"","US_01","TC_16 As ı user ı can enter my coupon code in coupon box","0","0","1","0","0"
"","US_01","TC_04  when the desired holiday is selected and clicked on, it is confirmed that the new page opens.","0","0","2","0","0"
"","US_01","TC_11 As ı user ı can add transportation for reservation so when ı click to add transportation checkbox ı can see boxes for transportation in page","0","1","0","0","0"
"","US_01","TC_14 As ı user ı can enter my credit card information in payment page","0","0","1","0","0"
"","US_01","TC_08 As ı user ı can add another person for reservation so ı can see add another person check box in reservation page","0","0","1","0","0"
"","US_01","TC_15 As ı user ı can use my coupon so ı should see coupon box in payment page","0","1","0","0","0"
"","US_01","TC_02 Verify there are search boxes on the main page.","0","0","1","0","0"
"","US_01","TC_12 As ı user ı can see contiune to payment button after ı fill necessary information boxes","0","0","1","0","0"
"","US_01","TC_13 When ı click contiune to payment button ı can see payment page","0","1","0","0","0"
"","US_01","TC_01 Verify the site is accessible.","0","0","1","0","0"
"","US_01","TC_05  As a user ı can see make a reservation button in new page","0","0","1","0","0"
"","US_01","TC_06 As a user ı can see information boxes in reservation page","0","0","1","0","0"
"","US_01","TC_09 As ı user ı can add billing  for reservation so ı can see add billing  check box in reservation page","0","1","0","0","0"
"","US_01","TC_03  When a search is made with the search boxes and search button is pressed,it is confirmed that the desired results are listed.","0","0","1","0","0"
"","US_01","TC_10 As ı user ı can add note for reservation so when ı click to add note checkbox ı can see description box in page","0","0","1","0","0"
